UnitCount,RedPolicy,BluePolicy,Seed,Result
20,0,0,16058,BlueWin
20,0,0,24117,BlueWin
20,0,0,32107,RedWin
20,0,0,3888,BlueWin
20,0,0,8881,BlueWin
20,0,0,20265,RedWin
20,0,0,14115,BlueWin
20,0,0,32367,RedWin
20,0,0,23352,BlueWin
20,0,0,26196,RedWin
20,0,0,14905,BlueWin
20,0,0,11376,BlueWin
20,0,0,28942,BlueWin
20,0,0,29632,Draw
20,0,0,22812,BlueWin
20,0,0,28782,BlueWin
20,0,0,19161,RedWin
20,0,0,8188,RedWin
20,0,0,26918,BlueWin
20,0,0,30309,BlueWin
20,0,0,31976,BlueWin
20,0,0,5800,BlueWin
20,0,0,30325,BlueWin
20,0,0,3364,BlueWin
20,0,0,22964,Draw
20,0,0,30669,BlueWin
20,0,0,26645,RedWin
20,0,0,28589,BlueWin
20,0,0,31636,RedWin
20,0,0,15472,RedWin
20,0,0,6744,RedWin
20,0,0,18360,RedWin
20,0,0,7484,BlueWin
20,0,0,30411,RedWin
20,0,0,10712,RedWin
20,0,0,10949,RedWin
20,0,0,8583,RedWin
20,0,0,11603,BlueWin
20,0,0,23524,BlueWin
20,0,0,2322,RedWin
20,0,0,2415,BlueWin
20,0,0,22790,RedWin
20,0,0,12513,RedWin
20,0,0,10968,RedWin
20,0,0,20063,BlueWin
20,0,0,27461,RedWin
20,0,0,9387,RedWin
20,0,0,27843,RedWin
20,0,0,13481,RedWin
20,0,0,23245,BlueWin
20,0,0,24936,BlueWin
20,0,0,32229,RedWin
20,0,0,352,RedWin
20,0,0,26481,BlueWin
20,0,0,26411,BlueWin
20,0,0,18836,BlueWin
20,0,0,15877,BlueWin
20,0,0,28643,BlueWin
20,0,0,23360,RedWin
20,0,0,1542,RedWin
20,0,0,31413,BlueWin
20,0,0,776,RedWin
20,0,0,2272,BlueWin
20,0,0,21858,RedWin
20,0,0,13611,RedWin
20,0,0,13202,BlueWin
20,0,0,27281,BlueWin
20,0,0,25828,RedWin
20,0,0,22836,BlueWin
20,0,0,245,BlueWin
20,0,0,26983,BlueWin
20,0,0,32745,BlueWin
20,0,0,8093,BlueWin
20,0,0,11005,RedWin
20,0,0,29057,BlueWin
20,0,0,27564,RedWin
20,0,0,27845,BlueWin
20,0,0,1593,RedWin
20,0,0,8291,Draw
20,0,0,20811,RedWin
20,0,0,11797,RedWin
20,0,0,27973,RedWin
20,0,0,891,RedWin
20,0,0,2771,Draw
20,0,0,12529,BlueWin
20,0,0,14395,BlueWin
20,0,0,22948,RedWin
20,0,0,22448,Draw
20,0,0,29138,RedWin
20,0,0,16226,Draw
20,0,0,26731,RedWin
20,0,0,26501,RedWin
20,0,0,26129,RedWin
20,0,0,1833,RedWin
20,0,0,5696,BlueWin
20,0,0,25166,BlueWin
20,0,0,31113,RedWin
20,0,0,18677,BlueWin
20,0,0,21894,BlueWin
20,0,0,4055,RedWin
20,0,1,9103,RedWin
20,0,1,15168,Draw
20,0,1,26970,BlueWin
20,0,1,15867,Draw
20,0,1,20160,RedWin
20,0,1,22459,BlueWin
20,0,1,19151,RedWin
20,0,1,24720,RedWin
20,0,1,9014,RedWin
20,0,1,24833,BlueWin
20,0,1,10468,RedWin
20,0,1,11209,BlueWin
20,0,1,8480,RedWin
20,0,1,17999,RedWin
20,0,1,28451,RedWin
20,0,1,32184,RedWin
20,0,1,27163,BlueWin
20,0,1,9870,RedWin
20,0,1,25375,BlueWin
20,0,1,12461,BlueWin
20,0,1,17502,RedWin
20,0,1,4480,BlueWin
20,0,1,32609,BlueWin
20,0,1,19966,RedWin
20,0,1,27951,RedWin
20,0,1,14732,RedWin
20,0,1,10282,BlueWin
20,0,1,4587,BlueWin
20,0,1,2903,RedWin
20,0,1,12998,RedWin
20,0,1,27132,RedWin
20,0,1,15045,BlueWin
20,0,1,5488,BlueWin
20,0,1,29083,RedWin
20,0,1,2128,RedWin
20,0,1,16045,RedWin
20,0,1,25586,RedWin
20,0,1,10504,Draw
20,0,1,95,RedWin
20,0,1,25512,RedWin
20,0,1,11995,RedWin
20,0,1,22487,RedWin
20,0,1,4686,BlueWin
20,0,1,26927,BlueWin
20,0,1,8946,BlueWin
20,0,1,29447,BlueWin
20,0,1,26326,BlueWin
20,0,1,11293,RedWin
20,0,1,15259,BlueWin
20,0,1,32117,BlueWin
20,0,1,10656,BlueWin
20,0,1,31734,RedWin
20,0,1,28163,RedWin
20,0,1,18313,RedWin
20,0,1,6140,BlueWin
20,0,1,9240,BlueWin
20,0,1,21423,RedWin
20,0,1,10406,Draw
20,0,1,12937,BlueWin
20,0,1,24396,RedWin
20,0,1,3698,RedWin
20,0,1,3684,RedWin
20,0,1,1754,BlueWin
20,0,1,32520,RedWin
20,0,1,2744,RedWin
20,0,1,21050,RedWin
20,0,1,3049,RedWin
20,0,1,8634,RedWin
20,0,1,29144,RedWin
20,0,1,10667,RedWin
20,0,1,13256,RedWin
20,0,1,14047,BlueWin
20,0,1,31077,BlueWin
20,0,1,2136,RedWin
20,0,1,390,RedWin
20,0,1,2526,BlueWin
20,0,1,30915,BlueWin
20,0,1,22307,BlueWin
20,0,1,28719,RedWin
20,0,1,19073,RedWin
20,0,1,1751,RedWin
20,0,1,14175,RedWin
20,0,1,18031,RedWin
20,0,1,14970,BlueWin
20,0,1,14830,BlueWin
20,0,1,16087,RedWin
20,0,1,18740,RedWin
20,0,1,31364,BlueWin
20,0,1,7719,RedWin
20,0,1,7229,RedWin
